commands/command,Priority,Type
turn left to pick up the pedestrian at the corner,Not safety,Traffic Management
"there he is, follow that white car!",Not Safety,routing
go! catch up to him!,Not safety,Traffic Management
he is getting away! get right behind the white car!,Not safety,routing
pull over to the right and park. greet little timmy and his babysitter,Not safety,parking
continue to follow the car ahead through the yellow light,safety,Traffic Management
let this bmw pass and then switch lanes.,safety,Traffic Management
take a left at the light and park by the first tree where the person is standing. ,safety,parking
there could be pedestrians coming through; leave plenty of room between us and the white car on the right.,safety,Traffic Management
it looks like the truck ahead might be turning right; slow down behind the truck.,stop,Traffic Management
that might be my friend jack by the tree on the right. stop next to him.,stop,Traffic Management
drive up to the right side of that truck in front of us.,Not safety,Traffic Management
park in front of the last vehicle on the right.,Not safety,parking
pull alongside this white vehicle. i like the model and i want to take a better look at it.,Not safety,entertainment
pull alongside the dark suv parked and make a complete stop.,stop,Traffic Management
get next to the truck before us.,safety,Traffic Management
pull up alongside the truck in front of us ,Not safety,routing
keep following the truck in front of us. ,Not safety,routing
pull up next to the pedestrian on our right. the one close to the tree. ,Not safety,Traffic Management
"make a right turn, following this truck.",Not safety,routing
park in front of this black suv,Not safety,parking
pull up on the right of the truck up ahead,Not safety,routing
pull up next to that pedestrian that is standing near that tree on the right. he is going to ride with us.,Not safety,Traffic Management
"hey, pull over by the first pedestrian up ahead on the left. i want to ask for directions.",Not safety,Traffic Management
is that kid over there jim's kid?  pull over and see.,Not safety,entertainment
watch out for that person near the crosswalk up ahead.  he may be crossing right in front of us.,Not safety,Traffic Management
follow that truck up ahead.,Not safety,routing
pull up closer to that truck up ahead.,Not safety,routing
go park over where that other car is.,Not safety,routing
pull over there where that car is.,Not safety,Traffic Management
pull over near that guy on the right side of the road near the corner.  we can give him a ride.,Not safety,Traffic Management
is that jimmy?  i have not seen him in ages.  pull over so we can chat.,Not safety,Traffic Management
let the pedestrian on the right cross the street before turning right. ,safety,Traffic Management
park in front of the second vehicle on our right side,Not safety,parking
stop and wait to see which way that vehicle is going.,stop,routing
that is my friend's bicycle. pull up next to it.,Not safety,Traffic Management
that is my friend. pull up next to her and pick her up.,Not safety,Traffic Management
follow the red car.,Not safety,routing
increase speed and pull up next to the silver car.,safety,Traffic Management
pull up next to that man on our outer right and stop.,stop,Traffic Management
follow the red car.,Not safety,routing
find me a parking spot next to that pedestrian.,Not safety,parking
we found my bike! i'm going to hop on it and ride home now. thanks!,Not safety,Traffic Management
stop next to the woman in front of us standing closest to us.,stop,Traffic Management
stop next to the yellow bicycle,stop,Traffic Management
find a parking spot near the bicycle on the left,Not safety,parking
follow the silver car in front of us,Not safety,routing
follow the red car,Not safety,routing
stay behind this red car until the next light.,Not safety,Traffic Management
stay behind this car until the next light.,Not safety,Traffic Management
follow this car until the next light then turn right.,Not safety,Traffic Management
turn down the street where that car is.,safety,Traffic Management
get ahead of this car and take a right turn.,Not safety,routing
get in front of this car,safety,routing
pass the  intersection before the grey car arrives. ,safety,Traffic Management
continue straight ahead before the pedestrian passes the street.,safety,Traffic Management
"see that bike under the tree, i knew that tom left his bike somewhere near here last night. that might be his bike. pull over next to it. ",Not safety,Traffic Management
follow that red car that is driving on the main road,Not safety,routing
"when that red car has passed the intersection, continue straight",Not safety,routing
"oh, i see kate. she is waiting on the corner. pull over next to her. ",Not safety,Traffic Management
we should go the same direction as the red car that is turning on the other side of the traffic junction. ,Not safety,routing
"once the traffic lights turn green, follow the silver suv",Not safety,Traffic Management
follow this car.,Not safety,routing
turn right after the pedestrian has crossed the street,safety,Traffic Management
"move a bit forward, so we can what is coming from behind that truck.",safety,Traffic Management
stop next to the semi truck on the left.,stop,routing
speed up and pass the truck on our left when the light changes.,safety,Traffic Management
"after that person has crossed, let us go to the right.",safety,Traffic Management
a man is crossing the road. let him pass and then we can go to the right.,safety,Traffic Management
make a quick left before that car from the opposite lane reaches the intersection.,Not safety,routing
pull over next to that pedestrian on the other side of the intersection.,Not safety,Traffic Management
"park in front of the black car on the left, the one that is the last in the line of parked cars",Not safety,parking
park by that man in black,Not safety,parking
